epoch,batch,player_id,player_index,sigma
1,1,132,96,1.0008022785186768
1,1,438,274,0.9991967082023621
1,1,1,0,1.0008022785186768
1,1,355,218,0.9991967082023621
1,1,544,354,1.0008022785186768
1,1,1147,957,1.0006153583526611
1,1,1168,978,1.0006153583526611
1,1,1019,829,1.0006153583526611
1,1,876,686,1.0006153583526611
1,1,148,106,1.0008022785186768
1,2,132,96,1.0004056692123413
1,2,438,274,0.9985069036483765
1,2,1,0,1.001157522201538
1,2,355,218,0.9984443783760071
1,2,544,354,1.0005364418029785
1,2,1147,957,1.000018835067749
1,2,1168,978,1.000018835067749
1,2,1019,829,1.000018835067749
1,2,876,686,1.000018835067749
1,2,148,106,1.0015182495117188
1,3,132,96,0.9998739957809448
1,3,438,274,0.9978691339492798
1,3,1,0,1.0010586977005005
1,3,355,218,0.9976833462715149
1,3,544,354,1.0001561641693115
1,3,1147,957,0.9995424747467041
1,3,1168,978,0.9995424747467041
1,3,1019,829,0.9995424747467041
1,3,876,686,0.9995424747467041
1,3,148,106,1.001835823059082
1,4,132,96,0.9993430972099304
1,4,438,274,0.9976232051849365
1,4,1,0,1.0006426572799683
1,4,355,218,0.9971405863761902
1,4,544,354,0.9995958805084229
1,4,1147,957,0.9995076060295105
1,4,1168,978,0.9995076060295105
1,4,1019,829,0.9995076060295105
1,4,876,686,0.9995076060295105
1,4,148,106,1.0015015602111816
1,5,132,96,0.9988861680030823
1,5,438,274,0.997259795665741
1,5,1,0,1.0002161264419556
1,5,355,218,0.9965096712112427
1,5,544,354,0.9989542961120605
1,5,1147,957,0.9997193813323975
1,5,1168,978,0.9997193813323975
1,5,1019,829,0.9997193813323975
1,5,876,686,0.9997193813323975
1,5,148,106,1.001341462135315
1,6,132,96,0.9986743927001953
1,6,438,274,0.9969097375869751
1,6,1,0,0.999796986579895
1,6,355,218,0.9960860013961792
1,6,544,354,0.9982730150222778
1,6,1147,957,1.0000172853469849
1,6,1168,978,1.0000172853469849
1,6,1019,829,1.0000172853469849
1,6,876,686,1.0000172853469849
1,6,148,106,1.0011248588562012
1,7,132,96,0.9983693957328796
1,7,438,274,0.9966505169868469
1,7,1,0,0.9993671178817749
1,7,355,218,0.9957008957862854
1,7,544,354,0.9975611567497253
1,7,1147,957,1.0002700090408325
